especie,n,r2,a_intermedio,b_intermedio,c_intermedio,a_q1,b_q1,c_q1,a_q3,b_q3,c_q3
Pinus pseudostrobus,138,0.5715959888742237,21.0581033915391,0.014986496570592802,0.5583233736732657,15.793577543654324,0.013487846913533523,0.4745748676222758,26.322629239423875,0.016485146227652084,0.6420718797242555
Pinus cembroides,744,0.6308608828118785,20.333524844016758,0.013898171175257906,0.7051262190524524,15.250143633012568,0.012508354057732115,0.5993572861945845,25.416906055020945,0.015287988292783699,0.8108951519103202
Quercus rysophylla,101,0.74158548918756,13.10691710282025,0.03532854406446585,0.8224915759162715,9.830187827115187,0.031795689658019266,0.6991178395288308,16.383646378525313,0.03886139847091244,0.9458653123037122
Quercus laeta,306,0.28770586695739087,8.611189570849628,0.06131322714146262,0.6720460586176118,9,0.0183939681424388,0.6,10.8,0.098,0.8
